,current_dewpoint_f,current_humidity,current_temp_f,lat,lon,p_0_3_um,p_0_3_um_b,p_0_5_um,p_0_5_um_b,p_10_0_um,p_10_0_um_b,p_1_0_um,p_1_0_um_b,p_2_5_um,p_2_5_um_b,p_5_0_um,p_5_0_um_b,pm10_0_atm,pm10_0_atm_b,pm10_0_cf_1,pm10_0_cf_1_b,pm1_0_atm,pm1_0_atm_b,pm1_0_cf_1,pm1_0_cf_1_b,pm2_5_atm,pm2_5_atm_b,pm2_5_cf_1,pm2_5_cf_1_b,timestamp,nicename,SensorId,Adc,response_date,key2_response_b,wlstate,pm2.5_aqi,ts_s_latency_b,DateTime,httpsuccess,key2_count_b,key2_response_date_b,period,hardwareversion,httpsends,memcs,pressure,key2_response,version,Geo,status_6,status_5,status_8,key1_response,status_7,Mem,pm2.5_aqi_color,status_9,key1_count,ts_latency_b,key1_response_date,status_0,Id,status_2,status_1,status_4,status_3,pm2.5_aqi_b,loggingrate,latency,key1_count_b,memfrag,key1_response_b,key2_count,hardwarediscovered,place,rssi,key2_response_date,pm2.5_aqi_color_b,pa_latency,key1_response_date_b,uptime,ts_latency,ts_s_latency,response,location,memfb,timestamp-iso,status_10,response_b,response_date_b,latency_b
0,54,26,95,35.039406,-85.291992,2386.27,2242.46,730.58,711.25,0.33,0.0,144.39,133.76,9.8,3.36,2.23,0.67,23.61,19.76,23.61,19.76,13.08,13.56,13.08,13.56,22.21,19.4,22.21,19.4,1559406002000.0,mlk-central,84:f3:eb:44:d8:24,0.04,1559405882.0,200.0,Connected,72.0,731.0,2019/06/01T16:20:02z,4470.0,119148.0,1559406002.0,120.0,2.0,4470.0,1024.0,988.47,200.0,4.02,PurpleAir-d824,1.0,2.0,2.0,200.0,0.0,19128.0,"rgb(255,244,0)",2.0,108612.0,739.0,1559405999.0,2.0,1482.0,2.0,2.0,2.0,2.0,66.0,15.0,52.0,119212.0,22.0,200.0,117694.0,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003-B+PMSX003-A,outside,-65.0,1559406000.0,"rgb(255,251,0)",560.0,1559406001.0,88926.0,845.0,728.0,200.0,"35.039406, -85.291992",14840.0,2019-06-01 16:20:02,,,,
1,53,25,95,35.039406,-85.291992,2496.5,2424.57,769.7,765.19,0.0,0.06,147.14,144.72,7.11,6.63,1.03,0.74,22.5,22.0,22.5,22.0,14.73,14.04,14.73,14.04,21.71,21.66,21.71,21.66,1559406362000.0,mlk-central,84:f3:eb:44:d8:24,0.04,1559406242.0,200.0,Connected,71.0,720.0,2019/06/01T16:26:02z,4488.0,119151.0,1559406362.0,120.0,2.0,4488.0,1024.0,988.4,200.0,4.02,PurpleAir-d824,1.0,2.0,2.0,200.0,0.0,19128.0,"rgb(255,245,0)",2.0,108615.0,760.0,1559406359.0,2.0,1488.0,2.0,2.0,2.0,2.0,71.0,15.0,52.0,119215.0,22.0,200.0,117697.0,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003-B+PMSX003-A,outside,-65.0,1559406360.0,"rgb(255,245,0)",590.0,1559406361.0,89287.0,894.0,777.0,200.0,"35.039406, -85.291992",14840.0,2019-06-01 16:26:02,,,,
2,54,25,95,35.039406,-85.291992,2399.35,2192.96,737.39,696.87,0.0,0.2,132.93,140.56,6.32,5.37,1.25,1.07,21.42,20.97,21.42,20.97,13.78,12.83,13.78,12.83,20.52,20.3,20.52,20.3,1559406602000.0,mlk-central,84:f3:eb:44:d8:24,0.04,1559406483.0,200.0,Connected,69.0,808.0,2019/06/01T16:30:02z,4500.0,119153.0,1559406602.0,120.0,2.0,4500.0,1024.0,988.34,200.0,4.02,PurpleAir-d824,1.0,2.0,2.0,200.0,0.0,18960.0,"rgb(255,248,0)",2.0,108617.0,802.0,1559406599.0,2.0,1492.0,2.0,2.0,2.0,2.0,68.0,15.0,53.0,119217.0,22.0,200.0,117699.0,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003-B+PMSX003-A,outside,-65.0,1559406600.0,"rgb(255,249,0)",518.0,1559406601.0,89527.0,855.0,784.0,200.0,"35.039406, -85.291992",14840.0,2019-06-01 16:30:02,,,,
3,52,25,93,35.039406,-85.291992,2449.57,2395.7,747.67,758.0,0.0,0.0,157.39,146.99,5.71,2.7,0.91,0.82,23.12,21.46,23.12,21.46,13.88,14.61,13.88,14.61,22.39,20.99,22.39,20.99,1559406722000.0,mlk-central,84:f3:eb:44:d8:24,0.04,1559406602.0,200.0,Connected,73.0,761.0,2019/06/01T16:32:02z,4506.0,119154.0,1559406722.0,120.0,2.0,4506.0,1024.0,988.35,200.0,4.02,PurpleAir-d824,1.0,2.0,2.0,200.0,0.0,18960.0,"rgb(255,242,0)",2.0,108618.0,718.0,1559406719.0,2.0,1494.0,2.0,2.0,2.0,2.0,70.0,15.0,53.0,119218.0,22.0,200.0,117700.0,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003-B+PMSX003-A,outside,-64.0,1559406720.0,"rgb(255,247,0)",541.0,1559406721.0,89646.0,882.0,773.0,200.0,"35.039406, -85.291992",14840.0,2019-06-01 16:32:02,,,,
4,56,26,96,35.039406,-85.291992,2465.26,2267.56,746.01,722.25,0.0,0.0,139.55,147.74,5.59,3.46,1.94,0.4,22.22,19.9,22.22,19.9,13.96,13.03,13.96,13.03,21.16,19.72,21.16,19.72,1559407922000.0,mlk-central,84:f3:eb:44:d8:24,0.04,1559407802.0,200.0,Connected,70.0,745.0,2019/06/01T16:52:02z,4567.0,119164.0,1559407922.0,120.0,2.0,4567.0,1024.0,988.18,200.0,4.02,PurpleAir-d824,1.0,2.0,2.0,200.0,0.0,18960.0,"rgb(255,247,0)",2.0,108628.0,721.0,1559407919.0,2.0,1514.0,2.0,2.0,2.0,2.0,67.0,15.0,57.0,119228.0,29.0,200.0,117710.0,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003-B+PMSX003-A,outside,-66.0,1559407920.0,"rgb(255,250,0)",564.0,1559407921.0,90847.0,835.0,775.0,200.0,"35.039406, -85.291992",13352.0,2019-06-01 16:52:02,,,,
5,52,25,93,35.039406,-85.291992,2454.9,2404.0,748.54,756.94,0.31,0.0,150.55,153.88,8.52,5.06,2.03,0.65,23.34,22.06,23.34,22.06,13.9,14.26,13.9,14.26,22.04,21.62,22.04,21.62,1559408162000.0,mlk-central,84:f3:eb:44:d8:24,0.04,1559408042.0,200.0,Connected,72.0,724.0,2019/06/01T16:56:02z,4579.0,119166.0,1559408162.0,120.0,2.0,4579.0,1024.0,988.24,200.0,4.02,PurpleAir-d824,1.0,2.0,2.0,200.0,0.0,18960.0,"rgb(255,244,0)",2.0,108630.0,725.0,1559408159.0,2.0,1518.0,2.0,2.0,2.0,2.0,71.0,15.0,31.0,119230.0,22.0,200.0,117712.0,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003-B+PMSX003-A,outside,-65.0,1559408160.0,"rgb(255,245,0)",492.0,1559408161.0,91086.0,851.0,728.0,200.0,"35.039406, -85.291992",14856.0,2019-06-01 16:56:02,,,,
6,54,26,95,35.039406,-85.291992,2543.64,2346.4,786.21,745.5,0.27,0.0,160.28,139.5,8.34,5.03,1.24,0.66,24.69,21.47,24.69,21.47,14.91,13.76,14.91,13.76,23.97,20.9,23.97,20.9,1559408285000.0,mlk-central,84:f3:eb:44:d8:24,0.04,1559408162.0,200.0,Connected,76.0,3747.0,2019/06/01T16:58:05z,4585.0,119167.0,1559408285.0,120.0,2.0,4585.0,1024.0,988.19,200.0,4.02,PurpleAir-d824,1.0,2.0,2.0,200.0,0.0,19296.0,"rgb(255,237,0)",2.0,108631.0,767.0,1559408279.0,2.0,1520.0,2.0,2.0,2.0,2.0,70.0,15.0,57.0,119231.0,23.0,200.0,117713.0,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003-B+PMSX003-A,outside,-65.0,1559408280.0,"rgb(255,247,0)",498.0,1559408281.0,91209.0,861.0,771.0,200.0,"35.039406, -85.291992",14856.0,2019-06-01 16:58:05,,,,
7,55,29,92,35.043842,-85.302925,2715.91,2639.08,800.0,759.32,0.84,0.18,155.71,165.42,8.72,10.4,1.78,2.09,24.17,25.26,24.17,25.26,15.33,14.14,15.33,14.14,22.94,23.46,22.94,23.46,1559405046000.0,mlk-douglas,84:f3:eb:91:44:60,0.0,1559404926.0,200.0,Connected,74.0,842.0,2019/06/01T16:04:06z,4458.0,120748.0,1559405046.0,120.0,2.0,4459.0,1000.0,990.14,200.0,4.02,PurpleAir-4460,1.0,2.0,2.0,200.0,0.0,19128.0,"rgb(255,241,0)",2.0,117727.0,754.0,1559405043.0,2.0,1478.0,2.0,2.0,2.0,2.0,75.0,15.0,71.0,120778.0,22.0,200.0,120749.0,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003-B+PMSX003-A,outside,-61.0,1559405044.0,"rgb(255,239,0)",469.0,1559405045.0,88687.0,974.0,733.0,200.0,"35.043842, -85.302925",14984.0,2019-06-01 16:04:06,,,,
8,54,27,93,35.043842,-85.302925,2557.07,2501.82,758.3,732.79,0.0,0.0,131.63,132.53,6.79,6.91,0.6,1.79,21.24,22.04,21.24,22.04,14.15,13.87,14.15,13.87,20.81,20.68,20.81,20.68,1559405408000.0,mlk-douglas,84:f3:eb:91:44:60,0.0,1559405287.0,200.0,Connected,69.0,744.0,2019/06/01T16:10:08z,4476.0,120751.0,1559405408.0,120.0,2.0,4477.0,1000.0,990.02,200.0,4.02,PurpleAir-4460,1.0,2.0,2.0,200.0,0.0,19296.0,"rgb(255,248,0)",2.0,117730.0,734.0,1559405405.0,2.0,1484.0,2.0,2.0,2.0,2.0,69.0,15.0,52.0,120781.0,24.0,200.0,120752.0,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003-B+PMSX003-A,outside,-60.0,1559405406.0,"rgb(255,248,0)",502.0,1559405407.0,89049.0,798.0,746.0,200.0,"35.043842, -85.302925",14736.0,2019-06-01 16:10:08,,,,
9,54,27,93,35.043842,-85.302925,3259.95,2924.66,959.7,848.8,0.12,0.0,190.71,180.2,13.2,13.06,0.98,2.46,29.88,27.71,29.88,27.71,18.77,15.77,18.42,15.73,29.12,25.86,28.2,25.3,1559405646000.0,mlk-douglas,84:f3:eb:91:44:60,0.0,1559405526.0,200.0,Connected,85.0,756.0,2019/06/01T16:14:06z,4488.0,120753.0,1559405646.0,120.0,2.0,4489.0,1000.0,990.04,200.0,4.02,PurpleAir-4460,1.0,2.0,2.0,200.0,0.0,19128.0,"rgb(255,211,0)",2.0,117732.0,741.0,1559405643.0,2.0,1488.0,2.0,2.0,2.0,2.0,79.0,15.0,46.0,120783.0,24.0,200.0,120754.0,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003-B+PMSX003-A,outside,-61.0,1559405644.0,"rgb(255,230,0)",535.0,1559405645.0,89287.0,883.0,776.0,200.0,"35.043842, -85.302925",14448.0,2019-06-01 16:14:06,,,,
