,current_dewpoint_f,current_humidity,current_temp_f,lat,lon,p_0_3_um,p_0_3_um_b,p_0_5_um,p_0_5_um_b,p_10_0_um,p_10_0_um_b,p_1_0_um,p_1_0_um_b,p_2_5_um,p_2_5_um_b,p_5_0_um,p_5_0_um_b,pm10_0_atm,pm10_0_atm_b,pm10_0_cf_1,pm10_0_cf_1_b,pm1_0_atm,pm1_0_atm_b,pm1_0_cf_1,pm1_0_cf_1_b,pm2_5_atm,pm2_5_atm_b,pm2_5_cf_1,pm2_5_cf_1_b,timestamp,nicename,SensorId,Adc,response_date,key2_response_b,wlstate,pm2.5_aqi,ts_s_latency_b,DateTime,httpsuccess,key2_count_b,key2_response_date_b,period,hardwareversion,httpsends,memcs,pressure,key2_response,version,Geo,status_6,status_5,status_8,key1_response,status_7,Mem,pm2.5_aqi_color,status_9,key1_count,ts_latency_b,key1_response_date,status_0,Id,status_2,status_1,status_4,status_3,pm2.5_aqi_b,loggingrate,latency,key1_count_b,memfrag,key1_response_b,key2_count,hardwarediscovered,place,rssi,key2_response_date,pm2.5_aqi_color_b,pa_latency,key1_response_date_b,uptime,ts_latency,ts_s_latency,response,location,memfb,timestamp-iso,status_10,response_b,response_date_b,latency_b
0,54,26,95,35.039406,-85.291992,2386.27,2242.46,730.58,711.25,0.33,0.0,144.39,133.76,9.8,3.36,2.23,0.67,23.61,19.76,23.61,19.76,13.08,13.56,13.08,13.56,22.21,19.4,22.21,19.4,1559406002000.0,mlk-central,84:f3:eb:44:d8:24,0.04,1559405882.0,200.0,Connected,72.0,731.0,2019/06/01T16:20:02z,4470.0,119148.0,1559406002.0,120.0,2.0,4470.0,1024.0,988.47,200.0,4.02,PurpleAir-d824,1.0,2.0,2.0,200.0,0.0,19128.0,"rgb(255,244,0)",2.0,108612.0,739.0,1559405999.0,2.0,1482.0,2.0,2.0,2.0,2.0,66.0,15.0,52.0,119212.0,22.0,200.0,117694.0,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003-B+PMSX003-A,outside,-65.0,1559406000.0,"rgb(255,251,0)",560.0,1559406001.0,88926.0,845.0,728.0,200.0,"35.039406, -85.291992",14840.0,2019-06-01 16:20:02,,,,
1,53,25,95,35.039406,-85.291992,2496.5,2424.57,769.7,765.19,0.0,0.06,147.14,144.72,7.11,6.63,1.03,0.74,22.5,22.0,22.5,22.0,14.73,14.04,14.73,14.04,21.71,21.66,21.71,21.66,1559406362000.0,mlk-central,84:f3:eb:44:d8:24,0.04,1559406242.0,200.0,Connected,71.0,720.0,2019/06/01T16:26:02z,4488.0,119151.0,1559406362.0,120.0,2.0,4488.0,1024.0,988.4,200.0,4.02,PurpleAir-d824,1.0,2.0,2.0,200.0,0.0,19128.0,"rgb(255,245,0)",2.0,108615.0,760.0,1559406359.0,2.0,1488.0,2.0,2.0,2.0,2.0,71.0,15.0,52.0,119215.0,22.0,200.0,117697.0,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003-B+PMSX003-A,outside,-65.0,1559406360.0,"rgb(255,245,0)",590.0,1559406361.0,89287.0,894.0,777.0,200.0,"35.039406, -85.291992",14840.0,2019-06-01 16:26:02,,,,
2,54,25,95,35.039406,-85.291992,2399.35,2192.96,737.39,696.87,0.0,0.2,132.93,140.56,6.32,5.37,1.25,1.07,21.42,20.97,21.42,20.97,13.78,12.83,13.78,12.83,20.52,20.3,20.52,20.3,1559406602000.0,mlk-central,84:f3:eb:44:d8:24,0.04,1559406483.0,200.0,Connected,69.0,808.0,2019/06/01T16:30:02z,4500.0,119153.0,1559406602.0,120.0,2.0,4500.0,1024.0,988.34,200.0,4.02,PurpleAir-d824,1.0,2.0,2.0,200.0,0.0,18960.0,"rgb(255,248,0)",2.0,108617.0,802.0,1559406599.0,2.0,1492.0,2.0,2.0,2.0,2.0,68.0,15.0,53.0,119217.0,22.0,200.0,117699.0,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003-B+PMSX003-A,outside,-65.0,1559406600.0,"rgb(255,249,0)",518.0,1559406601.0,89527.0,855.0,784.0,200.0,"35.039406, -85.291992",14840.0,2019-06-01 16:30:02,,,,
3,52,25,93,35.039406,-85.291992,2449.57,2395.7,747.67,758.0,0.0,0.0,157.39,146.99,5.71,2.7,0.91,0.82,23.12,21.46,23.12,21.46,13.88,14.61,13.88,14.61,22.39,20.99,22.39,20.99,1559406722000.0,mlk-central,84:f3:eb:44:d8:24,0.04,1559406602.0,200.0,Connected,73.0,761.0,2019/06/01T16:32:02z,4506.0,119154.0,1559406722.0,120.0,2.0,4506.0,1024.0,988.35,200.0,4.02,PurpleAir-d824,1.0,2.0,2.0,200.0,0.0,18960.0,"rgb(255,242,0)",2.0,108618.0,718.0,1559406719.0,2.0,1494.0,2.0,2.0,2.0,2.0,70.0,15.0,53.0,119218.0,22.0,200.0,117700.0,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003-B+PMSX003-A,outside,-64.0,1559406720.0,"rgb(255,247,0)",541.0,1559406721.0,89646.0,882.0,773.0,200.0,"35.039406, -85.291992",14840.0,2019-06-01 16:32:02,,,,
4,56,26,96,35.039406,-85.291992,2465.26,2267.56,746.01,722.25,0.0,0.0,139.55,147.74,5.59,3.46,1.94,0.4,22.22,19.9,22.22,19.9,13.96,13.03,13.96,13.03,21.16,19.72,21.16,19.72,1559407922000.0,mlk-central,84:f3:eb:44:d8:24,0.04,1559407802.0,200.0,Connected,70.0,745.0,2019/06/01T16:52:02z,4567.0,119164.0,1559407922.0,120.0,2.0,4567.0,1024.0,988.18,200.0,4.02,PurpleAir-d824,1.0,2.0,2.0,200.0,0.0,18960.0,"rgb(255,247,0)",2.0,108628.0,721.0,1559407919.0,2.0,1514.0,2.0,2.0,2.0,2.0,67.0,15.0,57.0,119228.0,29.0,200.0,117710.0,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003-B+PMSX003-A,outside,-66.0,1559407920.0,"rgb(255,250,0)",564.0,1559407921.0,90847.0,835.0,775.0,200.0,"35.039406, -85.291992",13352.0,2019-06-01 16:52:02,,,,
5,52,25,93,35.039406,-85.291992,2454.9,2404.0,748.54,756.94,0.31,0.0,150.55,153.88,8.52,5.06,2.03,0.65,23.34,22.06,23.34,22.06,13.9,14.26,13.9,14.26,22.04,21.62,22.04,21.62,1559408162000.0,mlk-central,84:f3:eb:44:d8:24,0.04,1559408042.0,200.0,Connected,72.0,724.0,2019/06/01T16:56:02z,4579.0,119166.0,1559408162.0,120.0,2.0,4579.0,1024.0,988.24,200.0,4.02,PurpleAir-d824,1.0,2.0,2.0,200.0,0.0,18960.0,"rgb(255,244,0)",2.0,108630.0,725.0,1559408159.0,2.0,1518.0,2.0,2.0,2.0,2.0,71.0,15.0,31.0,119230.0,22.0,200.0,117712.0,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003-B+PMSX003-A,outside,-65.0,1559408160.0,"rgb(255,245,0)",492.0,1559408161.0,91086.0,851.0,728.0,200.0,"35.039406, -85.291992",14856.0,2019-06-01 16:56:02,,,,
6,54,26,95,35.039406,-85.291992,2543.64,2346.4,786.21,745.5,0.27,0.0,160.28,139.5,8.34,5.03,1.24,0.66,24.69,21.47,24.69,21.47,14.91,13.76,14.91,13.76,23.97,20.9,23.97,20.9,1559408285000.0,mlk-central,84:f3:eb:44:d8:24,0.04,1559408162.0,200.0,Connected,76.0,3747.0,2019/06/01T16:58:05z,4585.0,119167.0,1559408285.0,120.0,2.0,4585.0,1024.0,988.19,200.0,4.02,PurpleAir-d824,1.0,2.0,2.0,200.0,0.0,19296.0,"rgb(255,237,0)",2.0,108631.0,767.0,1559408279.0,2.0,1520.0,2.0,2.0,2.0,2.0,70.0,15.0,57.0,119231.0,23.0,200.0,117713.0,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003-B+PMSX003-A,outside,-65.0,1559408280.0,"rgb(255,247,0)",498.0,1559408281.0,91209.0,861.0,771.0,200.0,"35.039406, -85.291992",14856.0,2019-06-01 16:58:05,,,,
41,55,26,95,35.039406,-85.291992,2392.37,2260.94,726.93,710.71,0.24,0.0,129.62,141.54,7.18,3.43,0.84,0.63,21.18,20.25,21.18,20.25,13.46,13.04,13.46,13.04,20.32,19.84,20.32,19.84,1559405162000.0,mlk-central,84:f3:eb:44:d8:24,0.04,1559405042.0,200.0,Connected,68.0,740.0,2019/06/01T16:06:02z,4428.0,119141.0,1559405162.0,120.0,2.0,4428.0,1024.0,988.6,200.0,4.02,PurpleAir-d824,1.0,2.0,2.0,200.0,0.0,19640.0,"rgb(255,249,0)",2.0,108605.0,726.0,1559405159.0,2.0,1468.0,2.0,2.0,2.0,2.0,67.0,15.0,46.0,119205.0,16.0,200.0,117687.0,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003-B+PMSX003-A,outside,-66.0,1559405160.0,"rgb(255,250,0)",559.0,1559405161.0,88086.0,866.0,772.0,200.0,"35.039406, -85.291992",16496.0,2019-06-01 16:06:02,,,,
42,55,27,94,35.039406,-85.291992,2479.84,2384.03,757.93,760.78,0.41,0.0,146.44,140.21,7.83,5.16,1.61,0.43,22.7,21.91,22.7,21.91,13.86,14.15,13.86,14.15,21.67,21.6,21.67,21.6,1559405765000.0,mlk-central,84:f3:eb:44:d8:24,0.04,1559405642.0,200.0,Connected,71.0,731.0,2019/06/01T16:16:05z,4458.0,119146.0,1559405765.0,120.0,2.0,4458.0,1024.0,988.51,200.0,4.02,PurpleAir-d824,1.0,2.0,2.0,200.0,0.0,19296.0,"rgb(255,245,0)",2.0,108610.0,773.0,1559405762.0,2.0,1478.0,2.0,2.0,2.0,2.0,71.0,15.0,49.0,119210.0,23.0,200.0,117692.0,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003-B+PMSX003-A,outside,-69.0,1559405763.0,"rgb(255,245,0)",521.0,1559405764.0,88689.0,3817.0,760.0,200.0,"35.039406, -85.291992",14824.0,2019-06-01 16:16:05,,,,
43,52,26,92,35.039406,-85.291992,2496.62,2244.67,770.09,712.21,0.18,0.0,151.93,148.18,5.68,4.61,0.85,0.45,22.94,20.72,22.94,20.72,14.04,13.24,14.04,13.24,22.38,20.46,22.38,20.46,1559406842000.0,mlk-central,84:f3:eb:44:d8:24,0.04,1559406722.0,200.0,Connected,73.0,737.0,2019/06/01T16:34:02z,4512.0,119155.0,1559406842.0,120.0,2.0,4512.0,1024.0,988.36,200.0,4.02,PurpleAir-d824,1.0,2.0,2.0,200.0,0.0,19472.0,"rgb(255,242,0)",2.0,108619.0,770.0,1559406839.0,2.0,1496.0,2.0,2.0,2.0,2.0,69.0,15.0,52.0,119219.0,15.0,200.0,117701.0,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003-B+PMSX003-A,outside,-67.0,1559406840.0,"rgb(255,248,0)",555.0,1559406841.0,89766.0,850.0,770.0,200.0,"35.039406, -85.291992",16656.0,2019-06-01 16:34:02,,,,
