,current_dewpoint_f,current_humidity,current_temp_f,lat,lon,p_0_3_um,p_0_3_um_b,p_0_5_um,p_0_5_um_b,p_10_0_um,p_10_0_um_b,p_1_0_um,p_1_0_um_b,p_2_5_um,p_2_5_um_b,p_5_0_um,p_5_0_um_b,pm10_0_atm,pm10_0_atm_b,pm10_0_cf_1,pm10_0_cf_1_b,pm1_0_atm,pm1_0_atm_b,pm1_0_cf_1,pm1_0_cf_1_b,pm2_5_atm,pm2_5_atm_b,pm2_5_cf_1,pm2_5_cf_1_b,timestamp,nicename,SensorId,Adc,response_date,key2_response_b,wlstate,pm2.5_aqi,ts_s_latency_b,DateTime,httpsuccess,key2_count_b,key2_response_date_b,period,hardwareversion,httpsends,memcs,pressure,key2_response,version,Geo,status_6,status_5,status_8,key1_response,status_7,Mem,pm2.5_aqi_color,status_9,key1_count,ts_latency_b,key1_response_date,status_0,Id,status_2,status_1,status_4,status_3,pm2.5_aqi_b,loggingrate,latency,key1_count_b,memfrag,key1_response_b,key2_count,hardwarediscovered,place,rssi,key2_response_date,pm2.5_aqi_color_b,pa_latency,key1_response_date_b,uptime,ts_latency,ts_s_latency,response,location,memfb,timestamp-iso,status_10,response_b,response_date_b,latency_b
7,55,29,92,35.043842,-85.302925,2715.91,2639.08,800.0,759.32,0.84,0.18,155.71,165.42,8.72,10.4,1.78,2.09,24.17,25.26,24.17,25.26,15.33,14.14,15.33,14.14,22.94,23.46,22.94,23.46,1559405046000.0,mlk-douglas,84:f3:eb:91:44:60,0.0,1559404926.0,200.0,Connected,74.0,842.0,2019/06/01T16:04:06z,4458.0,120748.0,1559405046.0,120.0,2.0,4459.0,1000.0,990.14,200.0,4.02,PurpleAir-4460,1.0,2.0,2.0,200.0,0.0,19128.0,"rgb(255,241,0)",2.0,117727.0,754.0,1559405043.0,2.0,1478.0,2.0,2.0,2.0,2.0,75.0,15.0,71.0,120778.0,22.0,200.0,120749.0,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003-B+PMSX003-A,outside,-61.0,1559405044.0,"rgb(255,239,0)",469.0,1559405045.0,88687.0,974.0,733.0,200.0,"35.043842, -85.302925",14984.0,2019-06-01 16:04:06,,,,
8,54,27,93,35.043842,-85.302925,2557.07,2501.82,758.3,732.79,0.0,0.0,131.63,132.53,6.79,6.91,0.6,1.79,21.24,22.04,21.24,22.04,14.15,13.87,14.15,13.87,20.81,20.68,20.81,20.68,1559405408000.0,mlk-douglas,84:f3:eb:91:44:60,0.0,1559405287.0,200.0,Connected,69.0,744.0,2019/06/01T16:10:08z,4476.0,120751.0,1559405408.0,120.0,2.0,4477.0,1000.0,990.02,200.0,4.02,PurpleAir-4460,1.0,2.0,2.0,200.0,0.0,19296.0,"rgb(255,248,0)",2.0,117730.0,734.0,1559405405.0,2.0,1484.0,2.0,2.0,2.0,2.0,69.0,15.0,52.0,120781.0,24.0,200.0,120752.0,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003-B+PMSX003-A,outside,-60.0,1559405406.0,"rgb(255,248,0)",502.0,1559405407.0,89049.0,798.0,746.0,200.0,"35.043842, -85.302925",14736.0,2019-06-01 16:10:08,,,,
9,54,27,93,35.043842,-85.302925,3259.95,2924.66,959.7,848.8,0.12,0.0,190.71,180.2,13.2,13.06,0.98,2.46,29.88,27.71,29.88,27.71,18.77,15.77,18.42,15.73,29.12,25.86,28.2,25.3,1559405646000.0,mlk-douglas,84:f3:eb:91:44:60,0.0,1559405526.0,200.0,Connected,85.0,756.0,2019/06/01T16:14:06z,4488.0,120753.0,1559405646.0,120.0,2.0,4489.0,1000.0,990.04,200.0,4.02,PurpleAir-4460,1.0,2.0,2.0,200.0,0.0,19128.0,"rgb(255,211,0)",2.0,117732.0,741.0,1559405643.0,2.0,1488.0,2.0,2.0,2.0,2.0,79.0,15.0,46.0,120783.0,24.0,200.0,120754.0,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003-B+PMSX003-A,outside,-61.0,1559405644.0,"rgb(255,230,0)",535.0,1559405645.0,89287.0,883.0,776.0,200.0,"35.043842, -85.302925",14448.0,2019-06-01 16:14:06,,,,
10,54,27,93,35.043842,-85.302925,2867.19,2509.22,853.4,725.51,0.14,0.38,154.98,153.19,7.4,10.32,1.33,2.41,24.63,23.39,24.63,23.39,16.17,13.32,16.08,13.32,23.56,21.64,23.3,21.38,1559405886000.0,mlk-douglas,84:f3:eb:91:44:60,0.0,1559405766.0,200.0,Connected,75.0,739.0,2019/06/01T16:18:06z,4500.0,120755.0,1559405886.0,120.0,2.0,4501.0,1000.0,990.06,200.0,4.02,PurpleAir-4460,1.0,2.0,2.0,200.0,0.0,19016.0,"rgb(255,239,0)",2.0,117734.0,737.0,1559405883.0,2.0,1492.0,2.0,2.0,2.0,2.0,71.0,15.0,54.0,120785.0,24.0,200.0,120756.0,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003-B+PMSX003-A,outside,-60.0,1559405884.0,"rgb(255,245,0)",567.0,1559405885.0,89527.0,879.0,770.0,200.0,"35.043842, -85.302925",14472.0,2019-06-01 16:18:06,,,,
11,53,24,95,35.043842,-85.302925,2626.57,2289.6,778.33,660.29,0.08,0.0,147.79,134.11,8.73,9.34,0.59,2.54,22.44,21.03,22.44,21.03,14.71,12.23,14.71,12.23,22.06,19.34,22.06,19.34,1559406726000.0,mlk-douglas,84:f3:eb:91:44:60,0.0,1559406607.0,200.0,Connected,72.0,738.0,2019/06/01T16:32:06z,4542.0,120762.0,1559406726.0,120.0,2.0,4543.0,1000.0,989.78,200.0,4.02,PurpleAir-4460,1.0,2.0,2.0,200.0,0.0,18960.0,"rgb(255,244,0)",2.0,117741.0,735.0,1559406723.0,2.0,1506.0,2.0,2.0,2.0,2.0,66.0,15.0,60.0,120792.0,24.0,200.0,120763.0,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003-B+PMSX003-A,outside,-62.0,1559406724.0,"rgb(255,251,0)",648.0,1559406725.0,90367.0,882.0,749.0,200.0,"35.043842, -85.302925",14424.0,2019-06-01 16:32:06,,,,
12,53,25,94,35.043842,-85.302925,2579.06,2429.13,764.33,700.38,0.0,0.0,131.98,152.06,4.66,10.78,0.27,1.42,21.11,22.71,21.11,22.71,14.8,12.81,14.8,12.81,20.84,21.09,20.84,21.09,1559407806000.0,mlk-douglas,84:f3:eb:91:44:60,0.0,1559407689.0,200.0,Connected,69.0,756.0,2019/06/01T16:50:06z,4597.0,120771.0,1559407806.0,120.0,2.0,4598.0,952.0,989.74,200.0,4.02,PurpleAir-4460,1.0,2.0,2.0,200.0,0.0,19128.0,"rgb(255,248,0)",2.0,117750.0,737.0,1559407803.0,2.0,1524.0,2.0,2.0,2.0,2.0,70.0,15.0,52.0,120801.0,23.0,200.0,120772.0,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003-B+PMSX003-A,outside,-60.0,1559407805.0,"rgb(255,247,0)",667.0,1559407805.0,91448.0,891.0,851.0,200.0,"35.043842, -85.302925",14720.0,2019-06-01 16:50:06,,,,
13,53,27,92,35.043842,-85.302925,3367.3,3092.38,995.64,903.32,0.21,0.94,197.93,190.38,11.45,15.35,0.75,2.32,30.49,30.31,30.49,30.31,19.28,17.03,18.85,16.82,29.87,27.91,29.01,27.18,1559408046000.0,mlk-douglas,84:f3:eb:91:44:60,0.0,1559407926.0,200.0,Connected,87.0,753.0,2019/06/01T16:54:06z,4609.0,120773.0,1559408046.0,120.0,2.0,4610.0,952.0,989.63,200.0,4.02,PurpleAir-4460,1.0,2.0,2.0,200.0,0.0,19128.0,"rgb(255,203,0)",2.0,117752.0,743.0,1559408043.0,2.0,1528.0,2.0,2.0,2.0,2.0,83.0,15.0,55.0,120803.0,23.0,200.0,120774.0,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003-B+PMSX003-A,outside,-60.0,1559408044.0,"rgb(255,218,0)",499.0,1559408045.0,91687.0,812.0,765.0,200.0,"35.043842, -85.302925",14712.0,2019-06-01 16:54:06,,,,
45,52,27,91,35.043842,-85.302925,3949.38,3805.78,1173.86,1114.34,0.62,0.34,276.43,256.31,14.71,21.34,1.67,3.97,38.67,39.58,37.7,38.08,22.29,21.34,20.86,19.81,37.63,36.58,33.86,32.81,1559406006000.0,mlk-douglas,84:f3:eb:91:44:60,0.0,1559405886.0,200.0,Connected,97.0,753.0,2019/06/01T16:20:06z,4506.0,120756.0,1559406006.0,120.0,2.0,4507.0,1000.0,990.0,200.0,4.02,PurpleAir-4460,1.0,2.0,2.0,200.0,0.0,19264.0,"rgb(255,148,0)",2.0,117735.0,739.0,1559406004.0,2.0,1494.0,2.0,2.0,2.0,2.0,95.0,15.0,51.0,120786.0,24.0,200.0,120757.0,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003-B+PMSX003-A,outside,-61.0,1559406005.0,"rgb(255,161,0)",654.0,1559406005.0,89648.0,900.0,768.0,200.0,"35.043842, -85.302925",14720.0,2019-06-01 16:20:06,,,,
46,52,27,90,35.043842,-85.302925,3347.82,2814.55,990.02,820.55,0.05,1.24,200.39,177.61,9.41,14.39,1.39,2.58,30.45,27.85,30.45,27.85,19.14,15.18,18.98,15.18,29.47,25.5,29.15,25.47,1559406126000.0,mlk-douglas,84:f3:eb:91:44:60,0.0,1559406007.0,200.0,Connected,87.0,778.0,2019/06/01T16:22:06z,4512.0,120757.0,1559406126.0,120.0,2.0,4513.0,1000.0,990.07,200.0,4.02,PurpleAir-4460,1.0,2.0,2.0,200.0,0.0,18960.0,"rgb(255,203,0)",2.0,117736.0,746.0,1559406123.0,2.0,1496.0,2.0,2.0,2.0,2.0,79.0,15.0,58.0,120787.0,23.0,200.0,120758.0,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003-B+PMSX003-A,outside,-60.0,1559406124.0,"rgb(255,230,0)",488.0,1559406125.0,89767.0,845.0,774.0,200.0,"35.043842, -85.302925",14496.0,2019-06-01 16:22:06,,,,
47,53,25,94,35.043842,-85.302925,2535.73,2483.1,748.5,714.09,0.0,0.0,148.41,142.06,6.85,8.3,0.68,0.27,21.91,21.99,21.91,21.99,14.06,13.34,14.06,13.34,21.56,21.48,21.56,21.48,1559406486000.0,mlk-douglas,84:f3:eb:91:44:60,0.0,1559406366.0,200.0,Connected,71.0,744.0,2019/06/01T16:28:06z,4530.0,120760.0,1559406486.0,120.0,2.0,4531.0,1000.0,989.9,200.0,4.02,PurpleAir-4460,1.0,2.0,2.0,200.0,0.0,19472.0,"rgb(255,245,0)",2.0,117739.0,728.0,1559406483.0,2.0,1502.0,2.0,2.0,2.0,2.0,71.0,15.0,47.0,120790.0,19.0,200.0,120761.0,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003-B+PMSX003-A,outside,-61.0,1559406484.0,"rgb(255,245,0)",527.0,1559406485.0,90127.0,861.0,702.0,200.0,"35.043842, -85.302925",15808.0,2019-06-01 16:28:06,,,,
