,current_dewpoint_f,current_humidity,current_temp_f,lat,lon,p_0_3_um,p_0_3_um_b,p_0_5_um,p_0_5_um_b,p_10_0_um,p_10_0_um_b,p_1_0_um,p_1_0_um_b,p_2_5_um,p_2_5_um_b,p_5_0_um,p_5_0_um_b,pm10_0_atm,pm10_0_atm_b,pm10_0_cf_1,pm10_0_cf_1_b,pm1_0_atm,pm1_0_atm_b,pm1_0_cf_1,pm1_0_cf_1_b,pm2_5_atm,pm2_5_atm_b,pm2_5_cf_1,pm2_5_cf_1_b,timestamp,nicename,SensorId,Adc,response_date,key2_response_b,wlstate,pm2.5_aqi,ts_s_latency_b,DateTime,httpsuccess,key2_count_b,key2_response_date_b,period,hardwareversion,httpsends,memcs,pressure,key2_response,version,Geo,status_6,status_5,status_8,key1_response,status_7,Mem,pm2.5_aqi_color,status_9,key1_count,ts_latency_b,key1_response_date,status_0,Id,status_2,status_1,status_4,status_3,pm2.5_aqi_b,loggingrate,latency,key1_count_b,memfrag,key1_response_b,key2_count,hardwarediscovered,place,rssi,key2_response_date,pm2.5_aqi_color_b,pa_latency,key1_response_date_b,uptime,ts_latency,ts_s_latency,response,location,memfb,timestamp-iso,status_10,response_b,response_date_b,latency_b
14,57,26,97,35.045605,-85.308205,2074.94,2366.73,678.99,741.68,0.25,0.0,124.84,129.29,7.07,5.09,1.91,0.36,20.1,21.14,20.1,21.14,12.07,13.73,12.07,13.73,18.9,20.67,18.9,20.67,1559408367000.0,mlk-georgia,84:f3:eb:45:1a:66,0.0,1559408247.0,200.0,Connected,65.0,728.0,2019/06/01T16:59:27z,4585.0,58963.0,1559408367.0,120.0,2.0,4585.0,976.0,989.17,200.0,4.02,PurpleAir-1a66,1.0,2.0,2.0,200.0,0.0,19640.0,"rgb(255,252,0)",2.0,58543.0,741.0,1559408364.0,2.0,1521.0,2.0,2.0,2.0,2.0,69.0,15.0,53.0,58947.0,23.0,200.0,58745.0,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003-B+PMSX003-A,outside,-75.0,1559408365.0,"rgb(255,248,0)",448.0,1559408366.0,91224.0,830.0,835.0,200.0,"35.045605, -85.308205",15000.0,2019-06-01 16:59:27,,,,
15,56,26,97,35.045605,-85.308205,2155.54,2403.74,702.85,754.77,0.09,0.22,133.81,152.36,6.74,5.28,1.41,0.78,20.79,22.29,20.79,22.29,12.71,13.7,12.71,13.7,20.1,21.57,20.1,21.57,1559408247000.0,mlk-georgia,84:f3:eb:45:1a:66,0.0,1559408127.0,200.0,Connected,68.0,732.0,2019/06/01T16:57:27z,4579.0,58962.0,1559408247.0,120.0,2.0,4579.0,976.0,989.17,200.0,4.02,PurpleAir-1a66,1.0,2.0,2.0,200.0,0.0,19472.0,"rgb(255,249,0)",2.0,58542.0,747.0,1559408244.0,2.0,1519.0,2.0,2.0,2.0,2.0,71.0,15.0,56.0,58946.0,19.0,200.0,58744.0,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003-B+PMSX003-A,outside,-77.0,1559408245.0,"rgb(255,245,0)",467.0,1559408246.0,91104.0,842.0,743.0,200.0,"35.045605, -85.308205",15736.0,2019-06-01 16:57:27,,,,
16,56,26,96,35.045605,-85.308205,2163.39,2368.55,700.42,737.3,0.2,0.0,133.25,127.2,9.8,4.61,1.46,0.77,21.42,20.26,21.42,20.26,12.3,13.7,12.3,13.7,20.07,19.73,20.07,19.73,1559407287000.0,mlk-georgia,84:f3:eb:45:1a:66,0.0,1559407167.0,200.0,Connected,68.0,736.0,2019/06/01T16:41:27z,4531.0,58954.0,1559407287.0,120.0,2.0,4531.0,976.0,989.35,200.0,4.02,PurpleAir-1a66,1.0,2.0,2.0,200.0,0.0,19264.0,"rgb(255,249,0)",2.0,58534.0,759.0,1559407284.0,2.0,1503.0,2.0,2.0,2.0,2.0,67.0,15.0,49.0,58938.0,23.0,200.0,58736.0,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003-B+PMSX003-A,outside,-76.0,1559407285.0,"rgb(255,250,0)",458.0,1559407286.0,90144.0,850.0,748.0,200.0,"35.045605, -85.308205",14888.0,2019-06-01 16:41:27,,,,
50,56,26,97,35.045605,-85.308205,2419.97,2545.72,787.18,795.51,0.49,0.0,146.04,140.25,6.4,7.81,1.73,1.41,23.36,23.75,23.36,23.75,14.43,14.66,14.43,14.66,21.99,22.65,21.99,22.65,1559408127000.0,mlk-georgia,84:f3:eb:45:1a:66,0.0,1559408007.0,200.0,Connected,72.0,747.0,2019/06/01T16:55:27z,4573.0,58961.0,1559408127.0,120.0,2.0,4573.0,976.0,989.22,200.0,4.02,PurpleAir-1a66,1.0,2.0,2.0,200.0,0.0,19128.0,"rgb(255,244,0)",2.0,58541.0,746.0,1559408124.0,2.0,1517.0,2.0,2.0,2.0,2.0,73.0,15.0,47.0,58945.0,26.0,200.0,58743.0,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003-B+PMSX003-A,outside,-76.0,1559408125.0,"rgb(255,242,0)",610.0,1559408126.0,90984.0,830.0,739.0,200.0,"35.045605, -85.308205",14168.0,2019-06-01 16:55:27,,,,
51,56,26,97,35.045605,-85.308205,2208.75,2513.91,719.72,787.24,0.0,0.0,141.1,136.15,6.61,8.04,0.57,1.96,21.35,22.18,21.35,22.18,13.11,14.38,13.11,14.38,20.82,21.09,20.82,21.09,1559407767000.0,mlk-georgia,84:f3:eb:45:1a:66,0.0,1559407647.0,200.0,Connected,69.0,823.0,2019/06/01T16:49:27z,4555.0,58958.0,1559407767.0,120.0,2.0,4555.0,976.0,989.29,200.0,4.02,PurpleAir-1a66,1.0,2.0,2.0,200.0,0.0,18960.0,"rgb(255,248,0)",2.0,58538.0,775.0,1559407764.0,2.0,1511.0,2.0,2.0,2.0,2.0,70.0,15.0,46.0,58942.0,23.0,200.0,58740.0,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003-B+PMSX003-A,outside,-79.0,1559407765.0,"rgb(255,247,0)",608.0,1559407766.0,90624.0,816.0,750.0,200.0,"35.045605, -85.308205",14648.0,2019-06-01 16:49:27,,,,
52,56,27,95,35.045605,-85.308205,2125.52,2331.61,690.75,730.0,0.0,0.0,121.96,137.26,5.19,4.74,0.36,0.68,20.15,21.03,20.15,21.03,13.24,13.58,13.24,13.58,19.94,20.59,19.94,20.59,1559405487000.0,mlk-georgia,84:f3:eb:45:1a:66,0.0,1559405367.0,200.0,Connected,67.0,749.0,2019/06/01T16:11:27z,4440.0,58939.0,1559405487.0,120.0,2.0,4440.0,976.0,989.56,200.0,4.02,PurpleAir-1a66,1.0,2.0,2.0,200.0,0.0,19528.0,"rgb(255,250,0)",2.0,58519.0,752.0,1559405484.0,2.0,1473.0,2.0,2.0,2.0,2.0,69.0,15.0,52.0,58923.0,20.0,200.0,58721.0,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003-B+PMSX003-A,outside,-76.0,1559405485.0,"rgb(255,248,0)",442.0,1559405486.0,88344.0,829.0,763.0,200.0,"35.045605, -85.308205",15552.0,2019-06-01 16:11:27,,,,
53,55,25,96,35.045605,-85.308205,2202.18,2645.7,713.81,834.14,0.0,0.16,138.29,152.2,4.72,6.51,1.15,1.28,21.12,24.26,21.12,24.26,13.44,15.88,13.32,15.67,20.35,23.25,20.18,23.0,1559406207000.0,mlk-georgia,84:f3:eb:45:1a:66,0.0,1559406087.0,200.0,Connected,68.0,703.0,2019/06/01T16:23:27z,4476.0,58945.0,1559406207.0,120.0,2.0,4476.0,976.0,989.52,200.0,4.02,PurpleAir-1a66,1.0,2.0,2.0,200.0,0.0,18960.0,"rgb(255,249,0)",2.0,58525.0,752.0,1559406204.0,2.0,1485.0,2.0,2.0,2.0,2.0,74.0,15.0,59.0,58929.0,22.0,200.0,58727.0,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003-B+PMSX003-A,outside,-77.0,1559406205.0,"rgb(255,241,0)",452.0,1559406206.0,89064.0,825.0,744.0,200.0,"35.045605, -85.308205",14824.0,2019-06-01 16:23:27,,,,
54,56,28,94,35.045605,-85.308205,2034.65,2432.35,661.58,769.58,0.17,0.25,127.65,138.71,5.29,7.0,1.74,1.25,19.81,22.95,19.81,22.95,12.33,14.26,12.33,14.26,18.72,21.66,18.72,21.66,1559405247000.0,mlk-georgia,84:f3:eb:45:1a:66,0.0,1559405127.0,200.0,Connected,65.0,768.0,2019/06/01T16:07:27z,4428.0,58937.0,1559405247.0,120.0,2.0,4428.0,976.0,989.6,200.0,4.02,PurpleAir-1a66,1.0,2.0,2.0,200.0,0.0,19128.0,"rgb(255,252,0)",2.0,58517.0,754.0,1559405244.0,2.0,1469.0,2.0,2.0,2.0,2.0,71.0,15.0,53.0,58921.0,30.0,200.0,58719.0,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003-B+PMSX003-A,outside,-77.0,1559405245.0,"rgb(255,245,0)",553.0,1559405246.0,88104.0,824.0,730.0,200.0,"35.045605, -85.308205",13224.0,2019-06-01 16:07:27,,,,
55,56,26,96,35.045605,-85.308205,2183.43,2523.09,709.86,792.27,0.2,0.18,140.25,142.56,9.2,6.09,1.84,0.47,22.09,22.45,22.09,22.45,12.91,14.52,12.91,14.52,20.88,21.95,20.88,21.95,1559407527000.0,mlk-georgia,84:f3:eb:45:1a:66,0.0,1559407407.0,200.0,Connected,69.0,746.0,2019/06/01T16:45:27z,4543.0,58956.0,1559407527.0,120.0,2.0,4543.0,976.0,989.31,200.0,4.02,PurpleAir-1a66,1.0,2.0,2.0,200.0,0.0,19472.0,"rgb(255,248,0)",2.0,58536.0,749.0,1559407524.0,2.0,1507.0,2.0,2.0,2.0,2.0,72.0,15.0,53.0,58940.0,27.0,200.0,58738.0,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003-B+PMSX003-A,outside,-74.0,1559407525.0,"rgb(255,244,0)",483.0,1559407526.0,90384.0,818.0,759.0,200.0,"35.045605, -85.308205",14168.0,2019-06-01 16:45:27,,,,
56,56,26,96,35.045605,-85.308205,2208.71,2393.36,717.71,751.81,0.1,0.2,140.04,147.74,6.82,6.84,1.26,0.73,21.62,21.64,21.62,21.64,12.97,13.04,12.97,13.04,21.12,20.93,21.12,20.93,1559407047000.0,mlk-georgia,84:f3:eb:45:1a:66,0.0,1559406927.0,200.0,Connected,70.0,726.0,2019/06/01T16:37:27z,4518.0,58952.0,1559407047.0,120.0,2.0,4518.0,976.0,989.35,200.0,4.02,PurpleAir-1a66,1.0,2.0,2.0,200.0,0.0,19128.0,"rgb(255,247,0)",2.0,58532.0,756.0,1559407044.0,2.0,1499.0,2.0,2.0,2.0,2.0,70.0,15.0,62.0,58936.0,22.0,200.0,58734.0,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003-B+PMSX003-A,outside,-78.0,1559407045.0,"rgb(255,247,0)",591.0,1559407046.0,89904.0,825.0,741.0,200.0,"35.045605, -85.308205",14848.0,2019-06-01 16:37:27,,,,
