,current_dewpoint_f,current_humidity,current_temp_f,lat,lon,p_0_3_um,p_0_3_um_b,p_0_5_um,p_0_5_um_b,p_10_0_um,p_10_0_um_b,p_1_0_um,p_1_0_um_b,p_2_5_um,p_2_5_um_b,p_5_0_um,p_5_0_um_b,pm10_0_atm,pm10_0_atm_b,pm10_0_cf_1,pm10_0_cf_1_b,pm1_0_atm,pm1_0_atm_b,pm1_0_cf_1,pm1_0_cf_1_b,pm2_5_atm,pm2_5_atm_b,pm2_5_cf_1,pm2_5_cf_1_b,timestamp,nicename,SensorId,Adc,response_date,key2_response_b,wlstate,pm2.5_aqi,ts_s_latency_b,DateTime,httpsuccess,key2_count_b,key2_response_date_b,period,hardwareversion,httpsends,memcs,pressure,key2_response,version,Geo,status_6,status_5,status_8,key1_response,status_7,Mem,pm2.5_aqi_color,status_9,key1_count,ts_latency_b,key1_response_date,status_0,Id,status_2,status_1,status_4,status_3,pm2.5_aqi_b,loggingrate,latency,key1_count_b,memfrag,key1_response_b,key2_count,hardwarediscovered,place,rssi,key2_response_date,pm2.5_aqi_color_b,pa_latency,key1_response_date_b,uptime,ts_latency,ts_s_latency,response,location,memfb,timestamp-iso,status_10,response_b,response_date_b,latency_b
17,53,28,91,35.044731,-85.305542,2381.37,2270.49,753.3,734.77,0.15,0.27,149.09,132.81,7.28,5.11,0.7,0.44,22.94,20.61,22.94,20.61,14.76,13.43,14.76,13.43,22.31,20.3,22.31,20.3,1559406232000.0,mlk-houston,84:f3:eb:45:23:4c,0.0,1559406232.0,200.0,Connected,72.0,759.0,2019/06/01T16:23:52z,5204.0,80967.0,1559406229.0,120.0,2.0,5204.0,928.0,990.06,200.0,4.02,PurpleAir-234c,2.0,2.0,2.0,200.0,0.0,21048.0,"rgb(255,244,0)",2.0,81035.0,748.0,1559406227.0,2.0,1480.0,2.0,2.0,2.0,2.0,68.0,15.0,1316.0,81005.0,22.0,200.0,81013.0,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003-B+PMSX003-A,outside,-64.0,1559406227.0,"rgb(255,249,0)",536.0,1559406228.0,88812.0,870.0,739.0,201.0,"35.044731, -85.305542",16288.0,2019-06-01 16:23:52,1.0,200.0,1559406112.0,114.0
18,55,28,93,35.044731,-85.305542,2341.09,2371.16,732.03,771.64,0.0,0.19,140.77,138.31,7.29,6.12,0.13,0.67,21.74,22.03,21.74,22.03,13.94,14.45,13.94,14.45,21.54,21.52,21.54,21.52,1559407672000.0,mlk-houston,84:f3:eb:45:23:4c,0.0,1559407671.0,200.0,Connected,71.0,750.0,2019/06/01T16:47:52z,5289.0,80979.0,1559407669.0,120.0,2.0,5289.0,928.0,989.85,200.0,4.02,PurpleAir-234c,2.0,2.0,2.0,200.0,0.0,21304.0,"rgb(255,245,0)",2.0,81047.0,747.0,1559407666.0,2.0,1504.0,2.0,2.0,2.0,2.0,71.0,15.0,877.0,81017.0,19.0,200.0,81025.0,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003-B+PMSX003-A,outside,-67.0,1559407667.0,"rgb(255,245,0)",529.0,1559407668.0,90251.0,883.0,873.0,201.0,"35.044731, -85.305542",17240.0,2019-06-01 16:47:52,1.0,200.0,1559407552.0,101.0
19,54,27,93,35.044731,-85.305542,2308.73,2327.57,729.98,751.93,0.0,0.65,140.09,136.33,7.45,6.65,0.58,1.16,21.74,22.3,21.74,22.3,13.59,14.26,13.59,14.26,21.05,21.45,21.05,21.45,1559407791000.0,mlk-houston,84:f3:eb:45:23:4c,0.0,1559407791.0,200.0,Connected,70.0,728.0,2019/06/01T16:49:51z,5296.0,80980.0,1559407789.0,120.0,2.0,5296.0,928.0,989.52,200.0,4.02,PurpleAir-234c,2.0,2.0,2.0,200.0,0.0,21048.0,"rgb(255,247,0)",2.0,81048.0,746.0,1559407786.0,2.0,1506.0,2.0,2.0,2.0,2.0,71.0,15.0,851.0,81018.0,22.0,200.0,81026.0,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003-B+PMSX003-A,outside,-66.0,1559407787.0,"rgb(255,245,0)",561.0,1559407788.0,90371.0,960.0,779.0,201.0,"35.044731, -85.305542",16272.0,2019-06-01 16:49:51,1.0,200.0,1559407672.0,105.0
20,55,28,93,35.044731,-85.305542,2324.26,2288.37,733.74,740.97,0.16,1.04,144.71,138.42,7.28,7.1,1.32,1.84,22.7,22.96,22.7,22.96,14.07,13.78,14.07,13.78,21.91,21.69,21.91,21.69,1559408032000.0,mlk-houston,84:f3:eb:45:23:4c,0.0,1559408031.0,200.0,Connected,72.0,757.0,2019/06/01T16:53:52z,5310.0,80982.0,1559408029.0,120.0,2.0,5310.0,928.0,989.73,200.0,4.02,PurpleAir-234c,2.0,2.0,2.0,200.0,0.0,21048.0,"rgb(255,244,0)",2.0,81050.0,712.0,1559408026.0,2.0,1510.0,2.0,2.0,2.0,2.0,71.0,15.0,865.0,81020.0,22.0,200.0,81028.0,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003-B+PMSX003-A,outside,-65.0,1559408027.0,"rgb(255,245,0)",492.0,1559408028.0,90611.0,856.0,911.0,201.0,"35.044731, -85.305542",16272.0,2019-06-01 16:53:52,1.0,200.0,1559407912.0,105.0
21,55,28,92,35.044731,-85.305542,2318.32,2133.72,735.65,689.72,0.11,0.37,146.27,116.54,7.59,4.31,1.18,0.82,22.47,18.9,22.47,18.9,14.2,13.3,14.2,13.3,21.64,18.48,21.64,18.48,1559408274000.0,mlk-houston,84:f3:eb:45:23:4c,0.0,1559408274.0,200.0,Connected,71.0,733.0,2019/06/01T16:57:54z,5324.0,80984.0,1559408271.0,120.0,2.0,5324.0,928.0,989.7,200.0,4.02,PurpleAir-234c,2.0,2.0,2.0,200.0,0.0,21472.0,"rgb(255,245,0)",2.0,81052.0,738.0,1559408266.0,2.0,1514.0,2.0,2.0,2.0,2.0,64.0,15.0,1039.0,81022.0,15.0,200.0,81030.0,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003-B+PMSX003-A,outside,-66.0,1559408270.0,"rgb(255,252,0)",506.0,1559408271.0,90853.0,851.0,3281.0,201.0,"35.044731, -85.305542",18264.0,2019-06-01 16:57:54,1.0,200.0,1559408152.0,109.0
59,55,32,89,35.044731,-85.305542,2199.31,2273.83,690.57,734.93,0.0,0.41,144.46,125.45,6.27,5.29,0.99,1.35,20.81,20.68,20.81,20.68,13.16,13.86,13.16,13.86,20.15,19.77,20.15,19.77,1559404911000.0,mlk-houston,84:f3:eb:45:23:4c,0.0,1559404911.0,200.0,Connected,68.0,780.0,2019/06/01T16:01:51z,5127.0,80956.0,1559404909.0,120.0,2.0,5127.0,928.0,990.26,200.0,4.02,PurpleAir-234c,2.0,2.0,2.0,200.0,0.0,21496.0,"rgb(255,249,0)",2.0,81024.0,749.0,1559404906.0,2.0,1458.0,2.0,2.0,2.0,2.0,67.0,15.0,826.0,80994.0,15.0,200.0,81002.0,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003-B+PMSX003-A,outside,-65.0,1559404907.0,"rgb(255,250,0)",592.0,1559404908.0,87491.0,840.0,773.0,201.0,"35.044731, -85.305542",18224.0,2019-06-01 16:01:51,1.0,200.0,1559404792.0,119.0
60,56,31,91,35.044731,-85.305542,2191.7,2283.76,691.12,737.1,0.0,0.19,135.19,133.97,4.84,6.97,1.03,0.96,20.19,21.45,20.19,21.45,12.93,14.19,12.93,14.19,19.67,20.9,19.67,20.9,1559405153000.0,mlk-houston,84:f3:eb:45:23:4c,0.0,1559405153.0,200.0,Connected,67.0,733.0,2019/06/01T16:05:53z,5141.0,80958.0,1559405149.0,120.0,2.0,5141.0,928.0,990.16,200.0,4.02,PurpleAir-234c,2.0,2.0,2.0,200.0,0.0,21216.0,"rgb(255,250,0)",2.0,81026.0,736.0,1559405147.0,2.0,1462.0,2.0,2.0,2.0,2.0,69.0,15.0,838.0,80996.0,17.0,200.0,81004.0,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003-B+PMSX003-A,outside,-65.0,1559405147.0,"rgb(255,248,0)",516.0,1559405148.0,87733.0,878.0,714.0,201.0,"35.044731, -85.305542",17704.0,2019-06-01 16:05:53,1.0,200.0,1559405032.0,106.0
61,54,29,91,35.044731,-85.305542,2255.25,2325.35,708.5,750.36,0.16,0.28,147.04,127.97,7.57,6.35,0.91,1.01,22.29,21.32,22.29,21.32,13.18,14.17,13.18,14.17,21.56,20.62,21.56,20.62,1559405632000.0,mlk-houston,84:f3:eb:45:23:4c,0.0,1559405632.0,200.0,Connected,71.0,747.0,2019/06/01T16:13:52z,5169.0,80962.0,1559405629.0,120.0,2.0,5169.0,928.0,990.08,200.0,4.02,PurpleAir-234c,2.0,2.0,2.0,200.0,0.0,21304.0,"rgb(255,245,0)",2.0,81030.0,732.0,1559405627.0,2.0,1470.0,2.0,2.0,2.0,2.0,69.0,15.0,1102.0,81000.0,21.0,200.0,81008.0,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003-B+PMSX003-A,outside,-65.0,1559405628.0,"rgb(255,248,0)",567.0,1559405629.0,88211.0,1047.0,776.0,201.0,"35.044731, -85.305542",16736.0,2019-06-01 16:13:52,1.0,200.0,1559405512.0,111.0
62,52,28,90,35.044731,-85.305542,2382.88,2261.1,754.41,733.96,0.03,0.31,164.21,136.39,7.49,9.43,0.74,1.03,23.28,22.07,23.28,22.07,14.04,13.9,14.04,13.9,22.71,21.37,22.71,21.37,1559405991000.0,mlk-houston,84:f3:eb:45:23:4c,0.0,1559405991.0,200.0,Connected,73.0,713.0,2019/06/01T16:19:51z,5190.0,80965.0,1559405989.0,120.0,2.0,5190.0,928.0,990.08,200.0,4.02,PurpleAir-234c,2.0,2.0,2.0,200.0,0.0,21048.0,"rgb(255,242,0)",2.0,81033.0,718.0,1559405986.0,2.0,1476.0,2.0,2.0,2.0,2.0,71.0,15.0,842.0,81003.0,16.0,200.0,81011.0,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003-B+PMSX003-A,outside,-68.0,1559405987.0,"rgb(255,245,0)",507.0,1559405988.0,88571.0,857.0,777.0,201.0,"35.044731, -85.305542",17776.0,2019-06-01 16:19:51,1.0,200.0,1559405872.0,110.0
63,55,29,92,35.044731,-85.305542,2405.77,2179.7,762.2,707.68,0.0,0.2,135.61,135.99,5.14,6.38,0.23,0.75,21.8,20.94,21.8,20.94,15.27,13.51,15.27,13.51,21.7,20.23,21.7,20.23,1559408391000.0,mlk-houston,84:f3:eb:45:23:4c,0.0,1559408391.0,200.0,Connected,71.0,768.0,2019/06/01T16:59:51z,5331.0,80985.0,1559408389.0,120.0,2.0,5331.0,928.0,989.73,200.0,4.02,PurpleAir-234c,2.0,2.0,2.0,200.0,0.0,21304.0,"rgb(255,245,0)",2.0,81053.0,742.0,1559408386.0,2.0,1516.0,2.0,2.0,2.0,2.0,68.0,15.0,1000.0,81023.0,14.0,200.0,81031.0,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003-B+PMSX003-A,outside,-66.0,1559408387.0,"rgb(255,249,0)",479.0,1559408388.0,90971.0,888.0,778.0,201.0,"35.044731, -85.305542",18272.0,2019-06-01 16:59:51,1.0,200.0,1559408274.0,109.0
