,current_dewpoint_f,current_humidity,current_temp_f,lat,lon,p_0_3_um,p_0_3_um_b,p_0_5_um,p_0_5_um_b,p_10_0_um,p_10_0_um_b,p_1_0_um,p_1_0_um_b,p_2_5_um,p_2_5_um_b,p_5_0_um,p_5_0_um_b,pm10_0_atm,pm10_0_atm_b,pm10_0_cf_1,pm10_0_cf_1_b,pm1_0_atm,pm1_0_atm_b,pm1_0_cf_1,pm1_0_cf_1_b,pm2_5_atm,pm2_5_atm_b,pm2_5_cf_1,pm2_5_cf_1_b,timestamp,nicename,SensorId,Adc,response_date,key2_response_b,wlstate,pm2.5_aqi,ts_s_latency_b,DateTime,httpsuccess,key2_count_b,key2_response_date_b,period,hardwareversion,httpsends,memcs,pressure,key2_response,version,Geo,status_6,status_5,status_8,key1_response,status_7,Mem,pm2.5_aqi_color,status_9,key1_count,ts_latency_b,key1_response_date,status_0,Id,status_2,status_1,status_4,status_3,pm2.5_aqi_b,loggingrate,latency,key1_count_b,memfrag,key1_response_b,key2_count,hardwarediscovered,place,rssi,key2_response_date,pm2.5_aqi_color_b,pa_latency,key1_response_date_b,uptime,ts_latency,ts_s_latency,response,location,memfb,timestamp-iso,status_10,response_b,response_date_b,latency_b
22,55,31,90,35.045265,-85.306801,2710.36,2463.15,757.41,717.98,0.34,0.34,136.8,109.89,8.12,7.56,2.08,1.39,22.94,19.98,22.94,19.98,14.45,13.47,14.45,13.47,21.36,18.84,21.36,18.84,1559405427000.0,mlk-lindsay,84:f3:eb:45:31:54,0.0,1559405427.0,200.0,Connected,70.0,739.0,2019/06/01T16:10:27z,5253.0,79960.0,1559405425.0,119.0,2.0,5253.0,960.0,989.56,200.0,4.02,PurpleAir-3154,2.0,2.0,2.0,200.0,0.0,21304.0,"rgb(255,247,0)",2.0,79999.0,750.0,1559405422.0,2.0,1494.0,2.0,2.0,2.0,2.0,65.0,15.0,831.0,79979.0,22.0,200.0,79986.0,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003-B+PMSX003-A,outside,-70.0,1559405423.0,"rgb(255,252,0)",484.0,1559405424.0,89651.0,834.0,768.0,201.0,"35.045265, -85.306801",16640.0,2019-06-01 16:10:27,1.0,200.0,1559405307.0,96.0
23,53,31,88,35.045265,-85.306801,2780.82,2600.45,798.58,748.0,0.24,0.82,127.68,117.25,8.2,7.51,2.0,2.05,22.24,21.31,22.24,21.31,14.92,13.95,14.92,13.95,20.91,19.82,20.91,19.82,1559405547000.0,mlk-lindsay,84:f3:eb:45:31:54,0.0,1559405547.0,200.0,Connected,70.0,750.0,2019/06/01T16:12:27z,5260.0,79961.0,1559405545.0,120.0,2.0,5260.0,960.0,989.08,200.0,4.02,PurpleAir-3154,2.0,2.0,2.0,200.0,0.0,21608.0,"rgb(255,247,0)",2.0,80000.0,747.0,1559405542.0,2.0,1496.0,2.0,2.0,2.0,2.0,67.0,15.0,887.0,79980.0,22.0,200.0,79987.0,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003-B+PMSX003-A,outside,-71.0,1559405543.0,"rgb(255,250,0)",466.0,1559405544.0,89771.0,806.0,813.0,201.0,"35.045265, -85.306801",16712.0,2019-06-01 16:12:27,1.0,200.0,1559405427.0,85.0
24,54,30,90,35.045265,-85.306801,2813.39,2593.22,791.42,744.52,0.55,0.39,124.83,115.98,6.39,7.11,2.25,1.7,22.78,20.56,22.78,20.56,15.34,13.55,15.34,13.55,21.25,19.31,21.25,19.31,1559405787000.0,mlk-lindsay,84:f3:eb:45:31:54,0.0,1559405787.0,200.0,Connected,70.0,760.0,2019/06/01T16:16:27z,5274.0,79963.0,1559405785.0,120.0,2.0,5274.0,960.0,989.39,200.0,4.02,PurpleAir-3154,2.0,2.0,2.0,200.0,0.0,21304.0,"rgb(255,247,0)",2.0,80002.0,743.0,1559405782.0,2.0,1500.0,2.0,2.0,2.0,2.0,66.0,15.0,762.0,79982.0,21.0,200.0,79989.0,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003-B+PMSX003-A,outside,-71.0,1559405783.0,"rgb(255,251,0)",513.0,1559405784.0,90011.0,779.0,748.0,201.0,"35.045265, -85.306801",16800.0,2019-06-01 16:16:27,1.0,200.0,1559405668.0,97.0
25,54,30,90,35.045265,-85.306801,2827.29,2573.48,801.49,740.33,0.25,0.38,133.63,111.55,9.11,9.36,1.66,0.72,23.46,20.7,23.46,20.7,14.92,14.03,14.92,14.03,22.48,20.14,22.48,20.14,1559407114000.0,mlk-lindsay,84:f3:eb:45:31:54,0.0,1559407114.0,200.0,Connected,73.0,1200.0,2019/06/01T16:38:34z,5352.0,79974.0,1559407109.0,120.0,2.0,5352.0,960.0,989.33,200.0,4.02,PurpleAir-3154,2.0,2.0,2.0,200.0,0.0,21360.0,"rgb(255,242,0)",2.0,80013.0,883.0,1559407103.0,2.0,1522.0,2.0,2.0,2.0,2.0,68.0,15.0,3784.0,79993.0,15.0,200.0,80000.0,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003-B+PMSX003-A,outside,-70.0,1559407107.0,"rgb(255,249,0)",447.0,1559407108.0,91338.0,1262.0,3957.0,201.0,"35.045265, -85.306801",18264.0,2019-06-01 16:38:34,1.0,200.0,1559406988.0,100.0
26,55,30,91,35.045265,-85.306801,2751.14,2521.71,775.09,727.23,0.22,0.45,125.19,110.43,5.09,8.22,1.3,0.95,21.91,20.2,21.91,20.2,15.06,13.74,15.06,13.74,20.98,19.22,20.98,19.22,1559407245000.0,mlk-lindsay,84:f3:eb:45:31:54,0.0,1559407245.0,200.0,Connected,70.0,3808.0,2019/06/01T16:40:45z,5359.0,79975.0,1559407242.0,120.0,2.0,5359.0,960.0,989.27,200.0,4.02,PurpleAir-3154,2.0,2.0,2.0,200.0,0.0,21608.0,"rgb(255,247,0)",2.0,80014.0,759.0,1559407236.0,2.0,1524.0,2.0,2.0,2.0,2.0,66.0,15.0,985.0,79994.0,16.0,200.0,80001.0,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003-B+PMSX003-A,outside,-72.0,1559407237.0,"rgb(255,251,0)",3055.0,1559407238.0,91468.0,1230.0,934.0,201.0,"35.045265, -85.306801",18272.0,2019-06-01 16:40:45,1.0,200.0,1559407115.0,154.0
27,55,31,90,35.045265,-85.306801,2904.9,2669.52,816.0,769.45,0.54,0.26,132.28,127.18,5.37,8.87,1.58,1.4,23.36,22.03,23.36,22.03,15.54,14.4,15.54,14.4,21.96,21.13,21.96,21.13,1559407592000.0,mlk-lindsay,84:f3:eb:45:31:54,0.0,1559407592.0,200.0,Connected,72.0,1282.0,2019/06/01T16:46:32z,5380.0,79978.0,1559407589.0,120.0,2.0,5380.0,960.0,989.25,200.0,4.02,PurpleAir-3154,2.0,2.0,2.0,200.0,0.0,21128.0,"rgb(255,244,0)",2.0,80017.0,965.0,1559407583.0,2.0,1530.0,2.0,2.0,2.0,2.0,70.0,15.0,1268.0,79997.0,14.0,200.0,80004.0,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003-B+PMSX003-A,outside,-72.0,1559407584.0,"rgb(255,247,0)",679.0,1559407585.0,91816.0,956.0,1222.0,201.0,"35.045265, -85.306801",18304.0,2019-06-01 16:46:32,1.0,200.0,1559407467.0,100.0
64,56,33,89,35.045265,-85.306801,2660.5,2589.42,751.09,738.12,0.36,0.23,114.18,112.8,7.0,6.37,1.15,0.94,21.09,20.75,21.09,20.75,14.26,14.22,14.26,14.22,20.26,19.89,20.26,19.89,1559404947000.0,mlk-lindsay,84:f3:eb:45:31:54,0.0,1559404947.0,200.0,Connected,68.0,754.0,2019/06/01T16:02:27z,5225.0,79956.0,1559404945.0,119.0,2.0,5225.0,960.0,989.6,200.0,4.02,PurpleAir-3154,2.0,2.0,2.0,200.0,0.0,21304.0,"rgb(255,249,0)",2.0,79995.0,748.0,1559404942.0,2.0,1486.0,2.0,2.0,2.0,2.0,67.0,15.0,828.0,79975.0,22.0,200.0,79982.0,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003-B+PMSX003-A,outside,-71.0,1559404943.0,"rgb(255,250,0)",473.0,1559404944.0,89170.0,791.0,729.0,201.0,"35.045265, -85.306801",16640.0,2019-06-01 16:02:27,1.0,200.0,1559404827.0,113.0
65,55,32,89,35.045265,-85.306801,2621.25,2509.97,754.73,728.38,0.44,0.27,120.62,117.06,6.92,9.94,1.33,1.5,21.25,21.03,21.25,21.03,14.61,13.77,14.61,13.77,20.44,19.89,20.44,19.89,1559405190000.0,mlk-lindsay,84:f3:eb:45:31:54,0.0,1559405190.0,200.0,Connected,69.0,745.0,2019/06/01T16:06:30z,5239.0,79958.0,1559405185.0,120.0,2.0,5239.0,960.0,989.56,200.0,4.02,PurpleAir-3154,2.0,2.0,2.0,200.0,0.0,21216.0,"rgb(255,248,0)",2.0,79997.0,732.0,1559405182.0,2.0,1490.0,2.0,2.0,2.0,2.0,67.0,15.0,3299.0,79977.0,21.0,200.0,79984.0,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003-B+PMSX003-A,outside,-72.0,1559405183.0,"rgb(255,250,0)",461.0,1559405184.0,89414.0,771.0,736.0,201.0,"35.045265, -85.306801",16640.0,2019-06-01 16:06:30,1.0,200.0,1559405067.0,102.0
66,54,31,89,35.045265,-85.306801,2894.9,2681.4,813.24,773.75,0.71,0.23,127.16,126.09,9.22,10.65,2.37,1.08,23.59,22.51,23.59,22.51,15.79,14.48,15.79,14.48,21.98,21.46,21.98,21.46,1559405668000.0,mlk-lindsay,84:f3:eb:45:31:54,0.0,1559405668.0,200.0,Connected,72.0,816.0,2019/06/01T16:14:28z,5267.0,79962.0,1559405665.0,120.0,2.0,5267.0,960.0,989.52,200.0,4.02,PurpleAir-3154,2.0,2.0,2.0,200.0,0.0,21304.0,"rgb(255,244,0)",2.0,80001.0,724.0,1559405662.0,2.0,1498.0,2.0,2.0,2.0,2.0,71.0,15.0,1004.0,79981.0,21.0,200.0,79988.0,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003-B+PMSX003-A,outside,-71.0,1559405663.0,"rgb(255,245,0)",454.0,1559405664.0,89891.0,780.0,738.0,201.0,"35.045265, -85.306801",16792.0,2019-06-01 16:14:28,1.0,200.0,1559405550.0,200.0
67,54,30,90,35.045265,-85.306801,2947.71,2523.77,818.8,732.48,0.17,0.21,126.55,119.2,7.31,8.27,1.11,1.61,22.86,21.12,22.86,21.12,15.8,13.98,15.8,13.98,22.08,19.89,22.08,19.89,1559406867000.0,mlk-lindsay,84:f3:eb:45:31:54,0.0,1559406867.0,200.0,Connected,72.0,764.0,2019/06/01T16:34:27z,5338.0,79972.0,1559406865.0,120.0,2.0,5338.0,960.0,989.32,200.0,4.02,PurpleAir-3154,2.0,2.0,2.0,200.0,0.0,21304.0,"rgb(255,244,0)",2.0,80011.0,740.0,1559406862.0,2.0,1518.0,2.0,2.0,2.0,2.0,67.0,15.0,783.0,79991.0,21.0,200.0,79998.0,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003-B+PMSX003-A,outside,-73.0,1559406863.0,"rgb(255,250,0)",584.0,1559406864.0,91091.0,800.0,740.0,201.0,"35.045265, -85.306801",16744.0,2019-06-01 16:34:27,1.0,200.0,1559406747.0,104.0
