,current_dewpoint_f,current_humidity,current_temp_f,lat,lon,p_0_3_um,p_0_3_um_b,p_0_5_um,p_0_5_um_b,p_10_0_um,p_10_0_um_b,p_1_0_um,p_1_0_um_b,p_2_5_um,p_2_5_um_b,p_5_0_um,p_5_0_um_b,pm10_0_atm,pm10_0_atm_b,pm10_0_cf_1,pm10_0_cf_1_b,pm1_0_atm,pm1_0_atm_b,pm1_0_cf_1,pm1_0_cf_1_b,pm2_5_atm,pm2_5_atm_b,pm2_5_cf_1,pm2_5_cf_1_b,timestamp,nicename,SensorId,Adc,response_date,key2_response_b,wlstate,pm2.5_aqi,ts_s_latency_b,DateTime,httpsuccess,key2_count_b,key2_response_date_b,period,hardwareversion,httpsends,memcs,pressure,key2_response,version,Geo,status_6,status_5,status_8,key1_response,status_7,Mem,pm2.5_aqi_color,status_9,key1_count,ts_latency_b,key1_response_date,status_0,Id,status_2,status_1,status_4,status_3,pm2.5_aqi_b,loggingrate,latency,key1_count_b,memfrag,key1_response_b,key2_count,hardwarediscovered,place,rssi,key2_response_date,pm2.5_aqi_color_b,pa_latency,key1_response_date_b,uptime,ts_latency,ts_s_latency,response,location,memfb,timestamp-iso,status_10,response_b,response_date_b,latency_b
36,55,27,94,35.042328,-85.298729,2752.52,2806.59,787.11,783.74,0.0,0.17,134.28,123.44,5.94,5.15,1.06,0.7,22.46,21.21,22.46,21.21,15.35,14.79,15.35,14.79,21.57,20.77,21.57,20.77,1559405923000.0,mlk-peeples,84:f3:eb:91:44:38,0.0,1559405923.0,200.0,Connected,71.0,728.0,2019/06/01T16:18:43z,5266.0,205582.0,1559405920.0,120.0,2.0,5267.0,976.0,990.23,200.0,4.02,PurpleAir-4438,2.0,2.0,2.0,200.0,0.0,21608.0,"rgb(255,245,0)",2.0,204669.0,741.0,1559405918.0,2.0,1498.0,2.0,2.0,2.0,2.0,69.0,15.0,780.0,205629.0,22.0,200.0,205544.0,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003-B+PMSX003-A,outside,-64.0,1559405918.0,"rgb(255,248,0)",598.0,1559405919.0,89893.0,881.0,780.0,201.0,"35.042328, -85.298729",16792.0,2019-06-01 16:18:43,1.0,200.0,1559405802.0,102.0
37,54,25,95,35.042328,-85.298729,2562.65,2839.98,740.97,797.34,0.22,0.0,147.38,140.61,6.29,5.24,0.86,0.5,21.46,22.18,21.46,22.18,14.32,14.95,14.32,14.95,20.94,21.71,20.94,21.71,1559406163000.0,mlk-peeples,84:f3:eb:91:44:38,0.0,1559406162.0,200.0,Connected,70.0,746.0,2019/06/01T16:22:43z,5281.0,205584.0,1559406160.0,119.0,2.0,5282.0,976.0,990.14,200.0,4.02,PurpleAir-4438,2.0,2.0,2.0,200.0,0.0,21304.0,"rgb(255,247,0)",2.0,204671.0,738.0,1559406157.0,2.0,1502.0,2.0,2.0,2.0,2.0,71.0,15.0,774.0,205631.0,15.0,200.0,205546.0,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003-B+PMSX003-A,outside,-63.0,1559406158.0,"rgb(255,245,0)",462.0,1559406159.0,90133.0,819.0,747.0,201.0,"35.042328, -85.298729",18112.0,2019-06-01 16:22:43,1.0,200.0,1559406042.0,182.0
38,54,27,93,35.042328,-85.298729,2710.67,2859.18,773.26,797.02,0.6,0.0,153.69,123.92,7.64,4.66,1.54,0.85,22.76,21.46,22.76,21.46,14.61,15.34,14.61,15.34,21.66,21.02,21.66,21.02,1559404843000.0,mlk-peeples,84:f3:eb:91:44:38,0.0,1559404843.0,200.0,Connected,71.0,722.0,2019/06/01T16:00:43z,5203.0,205573.0,1559404840.0,120.0,2.0,5204.0,976.0,990.4,200.0,4.02,PurpleAir-4438,2.0,2.0,2.0,200.0,0.0,21048.0,"rgb(255,245,0)",2.0,204660.0,738.0,1559404837.0,2.0,1480.0,2.0,2.0,2.0,2.0,70.0,15.0,820.0,205620.0,22.0,200.0,205535.0,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003-B+PMSX003-A,outside,-64.0,1559404838.0,"rgb(255,247,0)",595.0,1559404839.0,88813.0,866.0,760.0,201.0,"35.042328, -85.298729",16320.0,2019-06-01 16:00:43,1.0,200.0,1559404723.0,117.0
39,54,29,91,35.042328,-85.298729,3251.07,3117.63,933.63,866.95,0.32,0.24,165.38,130.71,10.38,4.42,2.13,0.97,27.66,23.35,27.66,23.35,18.12,17.27,18.12,17.27,26.32,22.73,26.28,22.73,1559407242000.0,mlk-peeples,84:f3:eb:91:44:38,0.0,1559407242.0,200.0,Connected,81.0,735.0,2019/06/01T16:40:42z,5344.0,205593.0,1559407240.0,120.0,2.0,5345.0,976.0,990.14,200.0,4.02,PurpleAir-4438,2.0,2.0,2.0,200.0,0.0,21192.0,"rgb(255,224,0)",2.0,204680.0,733.0,1559407237.0,2.0,1520.0,2.0,2.0,2.0,2.0,73.0,15.0,778.0,205640.0,21.0,200.0,205555.0,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003-B+PMSX003-A,outside,-66.0,1559407238.0,"rgb(255,242,0)",515.0,1559407239.0,91212.0,866.0,732.0,201.0,"35.042328, -85.298729",16792.0,2019-06-01 16:40:42,1.0,200.0,1559407122.0,101.0
40,53,26,93,35.042328,-85.298729,2731.41,2757.94,789.69,772.89,0.0,0.23,154.43,130.64,5.24,7.08,1.15,1.08,23.18,21.41,23.18,21.41,15.49,15.12,15.49,15.12,22.54,20.67,22.54,20.67,1559405682000.0,mlk-peeples,84:f3:eb:91:44:38,0.0,1559405682.0,200.0,Connected,73.0,748.0,2019/06/01T16:14:42z,5252.0,205580.0,1559405680.0,120.0,2.0,5253.0,976.0,990.08,200.0,4.02,PurpleAir-4438,2.0,2.0,2.0,200.0,0.0,21304.0,"rgb(255,242,0)",2.0,204667.0,724.0,1559405677.0,2.0,1494.0,2.0,2.0,2.0,2.0,69.0,15.0,876.0,205627.0,21.0,200.0,205542.0,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003-B+PMSX003-A,outside,-64.0,1559405678.0,"rgb(255,248,0)",471.0,1559405679.0,89653.0,866.0,840.0,201.0,"35.042328, -85.298729",16720.0,2019-06-01 16:14:42,1.0,200.0,1559405562.0,97.0
76,55,25,96,35.042328,-85.298729,2737.24,2926.41,785.13,820.15,0.0,0.21,139.66,139.05,8.74,6.79,2.06,1.45,23.04,23.65,23.04,23.65,15.22,16.24,15.22,16.24,21.78,22.77,21.78,22.77,1559406882000.0,mlk-peeples,84:f3:eb:91:44:38,0.0,1559406882.0,200.0,Connected,71.0,736.0,2019/06/01T16:34:42z,5323.0,205590.0,1559406880.0,120.0,2.0,5324.0,976.0,990.08,200.0,4.02,PurpleAir-4438,2.0,2.0,2.0,200.0,0.0,21192.0,"rgb(255,245,0)",2.0,204677.0,768.0,1559406877.0,2.0,1514.0,2.0,2.0,2.0,2.0,73.0,15.0,785.0,205637.0,21.0,200.0,205552.0,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003-B+PMSX003-A,outside,-64.0,1559406878.0,"rgb(255,242,0)",482.0,1559406879.0,90852.0,864.0,800.0,201.0,"35.042328, -85.298729",16672.0,2019-06-01 16:34:42,1.0,200.0,1559406763.0,92.0
77,53,23,96,35.042328,-85.298729,2852.79,2822.4,821.49,789.02,0.0,0.43,148.09,134.54,7.86,6.03,1.63,1.49,23.56,21.97,23.56,21.97,15.43,14.92,15.43,14.92,22.59,20.77,22.59,20.77,1559407122000.0,mlk-peeples,84:f3:eb:91:44:38,0.0,1559407122.0,200.0,Connected,73.0,734.0,2019/06/01T16:38:42z,5337.0,205592.0,1559407120.0,120.0,2.0,5338.0,976.0,990.12,200.0,4.02,PurpleAir-4438,2.0,2.0,2.0,200.0,0.0,21048.0,"rgb(255,242,0)",2.0,204679.0,783.0,1559407117.0,2.0,1518.0,2.0,2.0,2.0,2.0,69.0,15.0,906.0,205639.0,21.0,200.0,205554.0,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003-B+PMSX003-A,outside,-62.0,1559407118.0,"rgb(255,248,0)",521.0,1559407119.0,91093.0,857.0,724.0,201.0,"35.042328, -85.298729",16656.0,2019-06-01 16:38:42,1.0,200.0,1559407002.0,103.0
78,54,28,92,35.042328,-85.298729,2878.39,2938.12,817.75,833.12,0.09,0.0,167.81,137.21,7.63,2.52,1.22,0.75,24.55,22.73,24.55,22.73,15.31,16.49,15.31,16.49,23.63,22.24,23.63,22.24,1559407482000.0,mlk-peeples,84:f3:eb:91:44:38,0.0,1559407482.0,200.0,Connected,75.0,741.0,2019/06/01T16:44:42z,5358.0,205595.0,1559407480.0,120.0,2.0,5359.0,976.0,990.04,200.0,4.02,PurpleAir-4438,2.0,2.0,2.0,200.0,0.0,21192.0,"rgb(255,239,0)",2.0,204682.0,746.0,1559407477.0,2.0,1524.0,2.0,2.0,2.0,2.0,72.0,15.0,811.0,205642.0,15.0,200.0,205557.0,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003-B+PMSX003-A,outside,-64.0,1559407478.0,"rgb(255,244,0)",670.0,1559407479.0,91453.0,863.0,768.0,201.0,"35.042328, -85.298729",18152.0,2019-06-01 16:44:42,1.0,200.0,1559407364.0,93.0
79,55,31,90,35.042328,-85.298729,3150.85,3036.99,910.46,846.01,0.16,0.0,161.99,134.39,7.99,5.84,0.97,1.49,26.28,23.57,26.28,23.57,17.55,16.78,17.55,16.78,25.31,22.66,25.31,22.66,1559407602000.0,mlk-peeples,84:f3:eb:91:44:38,0.0,1559407602.0,200.0,Connected,79.0,741.0,2019/06/01T16:46:42z,5365.0,205596.0,1559407600.0,120.0,2.0,5366.0,976.0,990.13,200.0,4.02,PurpleAir-4438,2.0,2.0,2.0,200.0,0.0,21304.0,"rgb(255,230,0)",2.0,204683.0,735.0,1559407597.0,2.0,1526.0,2.0,2.0,2.0,2.0,73.0,15.0,782.0,205643.0,21.0,200.0,205558.0,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003-B+PMSX003-A,outside,-63.0,1559407598.0,"rgb(255,242,0)",471.0,1559407599.0,91573.0,878.0,744.0,201.0,"35.042328, -85.298729",16792.0,2019-06-01 16:46:42,1.0,200.0,1559407483.0,81.0
80,55,30,90,35.042328,-85.298729,3056.23,3239.09,894.81,882.71,0.11,0.0,169.06,134.85,7.7,5.3,2.27,1.42,26.41,23.8,26.41,23.8,17.27,16.98,17.27,16.98,25.11,23.06,25.1,23.06,1559407364000.0,mlk-peeples,84:f3:eb:91:44:38,0.0,1559407364.0,200.0,Connected,78.0,727.0,2019/06/01T16:42:44z,5351.0,205594.0,1559407361.0,120.0,2.0,5352.0,976.0,990.11,200.0,4.02,PurpleAir-4438,2.0,2.0,2.0,200.0,0.0,21472.0,"rgb(255,232,0)",2.0,204681.0,755.0,1559407359.0,2.0,1522.0,2.0,2.0,2.0,2.0,74.0,15.0,797.0,205641.0,22.0,200.0,205556.0,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003-B+PMSX003-A,outside,-64.0,1559407360.0,"rgb(255,241,0)",636.0,1559407360.0,91334.0,888.0,749.0,201.0,"35.042328, -85.298729",16792.0,2019-06-01 16:42:44,1.0,200.0,1559407242.0,115.0
