,camera_id,hit_counts,id,intersection,label,locations,pole_id,timestamp,timestamp-iso
305,mlk-magnolia-cam-2,2,798bb44e-9199-4bfc-9b8e-13b988355e3a,True,car,"[{'coords': [1256.9590070833829, 328.1614041592642, 1427.5743445034946, 404.0497069216176], 'timestamp': 1559404960699}, {'coords': [1267.957624585533, 334.4535057815827, 1418.7271571183603, 404.638075965783], 'timestamp': 1559404970306}]",mlk-magnolia-2,1559404937980,2019-06-01 16:02:17.980
309,mlk-magnolia-cam-2,2,daa64b66-caef-4fdd-a36c-f1ade57bded7,True,car,"[{'coords': [1159.250457900875, 338.2626847236703, 1329.7649438837461, 413.40065897192494], 'timestamp': 1559405109825}, {'coords': [1042.488922438312, 335.1682549288448, 1235.0822933211814, 422.289037558481], 'timestamp': 1559405110118}]",mlk-magnolia-2,1559405108915,2019-06-01 16:05:08.915
312,mlk-magnolia-cam-2,2,003897cd-d875-4cdb-901d-23687cb421d6,True,car,"[{'coords': [384.74870524237286, 373.0017789422403, 426.6470076098431, 402.60246507216004], 'timestamp': 1559405169638}, {'coords': [385.1037003024773, 374.08891830547896, 429.5602773816393, 405.5522090995655], 'timestamp': 1559405170443}]",mlk-magnolia-2,1559405168898,2019-06-01 16:06:08.898
318,mlk-magnolia-cam-2,2,b86bab70-dcf4-48e2-b9c6-2221022d1b43,True,car,"[{'coords': [1260.1859603798089, 322.83850707944015, 1444.9311733489217, 382.81893444009705], 'timestamp': 1559405152923}, {'coords': [1248.3232877047847, 338.0507318322003, 1399.6713176611909, 399.913398668612], 'timestamp': 1559405188084}]",mlk-magnolia-2,1559405149643,2019-06-01 16:05:49.643
324,mlk-magnolia-cam-2,2,66bd53fe-effd-472f-b67a-73f9662159c4,True,car,"[{'coords': [1280.6966211588729, 333.07879450281405, 1410.3002360813525, 388.58340384162113], 'timestamp': 1559405291923}, {'coords': [1252.5930858061224, 332.4663771978737, 1412.7935446178371, 403.83728069815504], 'timestamp': 1559405297397}]",mlk-magnolia-2,1559405276388,2019-06-01 16:07:56.388
327,mlk-magnolia-cam-2,3,08b5338f-64d6-4a58-acc0-1b57a2d6389d,True,car,"[{'coords': [416.26499236099687, 362.4722782641988, 491.6517080879315, 414.286570710789], 'timestamp': 1559405336618}, {'coords': [272.2145235220697, 361.8748695341623, 480.8419709439944, 499.4023074255393], 'timestamp': 1559405341402}, {'coords': [163.63995141561313, 379.69514213989174, 433.69577448008533, 536.1155074774005], 'timestamp': 1559405341823}]",mlk-magnolia-2,1559405334338,2019-06-01 16:08:54.338
330,mlk-magnolia-cam-2,2,47e43ac2-37c3-49af-89cf-cd005f3a6f93,True,car,"[{'coords': [319.31319965998483, 388.53914609562065, 517.2443524937325, 485.00780602339665], 'timestamp': 1559405407940}, {'coords': [411.51448464644255, 381.15440494317045, 547.5112884897395, 453.8210140960831], 'timestamp': 1559405408631}]",mlk-magnolia-2,1559405407018,2019-06-01 16:10:07.018
331,mlk-magnolia-cam-2,2,7eb3a1f7-932b-426b-af83-39ed003bbd52,True,car,"[{'coords': [432.58031830905304, 365.26210912444833, 475.42766196535524, 389.1902219905188], 'timestamp': 1559405396614}, {'coords': [425.59292277340495, 362.2071608514554, 476.2685719223111, 393.69061302627125], 'timestamp': 1559405414324}]",mlk-magnolia-2,1559405386942,2019-06-01 16:09:46.942
333,mlk-magnolia-cam-2,2,2d0be67a-0d8d-4506-bfef-220b76d4017e,True,car,"[{'coords': [1434.2718615142844, 342.34837029598214, 1484.6756508811463, 371.88351142825377], 'timestamp': 1559405420702}, {'coords': [1434.9384399258097, 342.51247852030554, 1485.8650729783262, 372.0830074514312], 'timestamp': 1559405421110}]",mlk-magnolia-2,1559405418813,2019-06-01 16:10:18.813
335,mlk-magnolia-cam-2,2,f21a0757-c68b-45e9-9655-ce13893fa909,True,car,"[{'coords': [1425.1069832569426, 342.03458605924413, 1505.1330055117603, 396.76170445415676], 'timestamp': 1559405508941}, {'coords': [1362.6553273059985, 340.31060805749814, 1457.0137377768888, 400.0205884656955], 'timestamp': 1559405509282}]",mlk-magnolia-2,1559405507777,2019-06-01 16:11:47.777
